word1,word2,cosine_similarity
opera,performance,-0.028711168
peace,atmosphere,0.21708682
peace,insurance,0.2647855
peace,plan,0.18781984
phone,equipment,0.16875459
physics,chemistry,0.6240766
physics,proton,0.5576647
plane,car,0.15672624
planet,galaxy,0.34471887
planet,moon,0.20981374
planet,people,0.022109574
planet,space,0.1924403
planet,star,0.2827667
planet,sun,0.2094776
population,development,0.09310836
possibility,girl,0.10751459
practice,institution,0.25150198
precedent,collection,0.2341079
precedent,example,0.30390224
precedent,group,0.030735089
precedent,information,0.10245735
precedent,law,0.21618901
prejudice,recognition,0.3187383
preservation,world,-0.07944306
president,medal,0.3515599
problem,airport,0.03044932
problem,challenge,0.0063289804
production,crew,0.1972507
production,hike,0.19641632
professor,doctor,0.27274105
profit,loss,0.6162953
profit,warning,0.31825942
psychology,anxiety,0.3773018
psychology,clinic,0.5108969
psychology,depression,0.3930167
psychology,discipline,0.41898075
psychology,doctor,0.1348745
psychology,fear,0.21567568
psychology,freud,0.46640572
psychology,health,0.4181002
psychology,mind,0.2837798
psychology,psychiatry,0.66119105
psychology,science,0.5303323
reason,criterion,0.21445318
record,number,0.09267462
registration,arrangement,0.3869945
report,gain,0.2037735
rock,jazz,0.029653687
rooster,voyage,0.52977645
school,center,0.37462804
seafood,food,0.42524794
seafood,sea,0.3174727
secretary,senate,0.32476318
seven,series,0.39309838
shore,woodland,0.5345295
shower,flood,0.28863573
sign,recess,0.28694448
situation,conclusion,0.20736463
situation,isolation,0.14801157
size,prominence,0.24807784
skin,eye,0.11227332
smart,student,0.2430284
smart,stupid,0.3091627
soap,opera,0.41121337
space,chemistry,0.34288484
space,world,0.1171451
start,match,0.060042124
start,year,0.3018169
stock,cd,0.23254663
stock,egg,0.07839711
stock,jaguar,0.30457592
stock,life,-0.105868526
stock,live,0.19082807
stock,market,0.48832747
stock,phone,0.08416957
street,avenue,0.36394042
street,block,0.43458498
street,children,0.104791194
street,place,0.10824002
stroke,hospital,0.29578865
student,professor,0.23427534
sugar,approach,0.2781327
summer,drought,0.23145618
summer,nature,0.01666236
telephone,communication,0.45834047
television,film,0.3404536
television,radio,0.58597124
tennis,racket,0.49723002
territory,kilometer,0.4018378
territory,surface,0.12867764
theater,history,0.08506756
tiger,animal,0.31657502
tiger,cat,0.25272262
tiger,feline,0.545056
tiger,jaguar,0.46014038
tiger,organism,0.41388738
tiger,tiger,1.0000001
tiger,zoo,0.45360476
tool,implement,0.47111875
train,car,0.32834074
travel,activity,0.10728862
treatment,recovery,0.22109513
type,kind,0.36554772
victim,emergency,0.26180354
viewer,serial,0.5832344
volunteer,motto,0.5378114
war,troops,0.21653964
water,seepage,0.14474577
weapon,secret,0.23257339
weather,forecast,0.2511114
wednesday,news,0.2746921
wood,forest,0.28677708
word,similarity,0.22871731
