word1,word2,cosine_similarity
money,possession,0.31774148
money,property,0.47684857
money,wealth,0.3391429
money,withdrawal,0.35320482
monk,oracle,0.8274728
monk,slave,0.61977214
month,hotel,0.27814865
morality,importance,0.5496436
morality,marriage,0.47058737
movie,critic,0.5663965
movie,star,0.7014093
movie,theater,0.63066673
murder,manslaughter,0.70315135
museum,theater,0.5313219
music,project,0.30291688
nature,environment,0.37392098
nature,man,0.19546905
network,hardware,0.59571636
news,report,0.60547143
noon,string,0.6040658
observation,architecture,0.6145745
oil,stock,0.44490695
opera,industry,0.35981065
opera,performance,0.33940867
peace,atmosphere,0.3791676
peace,insurance,0.38801792
peace,plan,0.316312
phone,equipment,0.40388831
physics,chemistry,0.70161825
physics,proton,0.7453179
plane,car,0.33130124
planet,galaxy,0.6716848
planet,moon,0.5145474
planet,people,0.21786767
planet,space,0.33693182
planet,star,0.5346689
planet,sun,0.35964027
population,development,0.3238589
possibility,girl,0.38477552
practice,institution,0.3813982
precedent,collection,0.48658305
precedent,example,0.36036965
precedent,group,0.36459535
precedent,information,0.4129145
precedent,law,0.44782424
prejudice,recognition,0.5616268
preservation,world,0.23913391
president,medal,0.43216354
problem,airport,0.26589546
problem,challenge,0.41966677
production,crew,0.31163695
production,hike,0.32340193
professor,doctor,0.5053477
profit,loss,0.6753222
profit,warning,0.5142281
psychology,anxiety,0.47821805
psychology,clinic,0.6942983
psychology,depression,0.60023135
psychology,discipline,0.61975867
psychology,doctor,0.5074744
psychology,fear,0.38594535
psychology,freud,0.662133
psychology,health,0.5091956
psychology,mind,0.37277615
psychology,psychiatry,0.79335403
psychology,science,0.65569204
reason,criterion,0.4422018
record,number,0.36169377
registration,arrangement,0.52675784
report,gain,0.37920848
rock,jazz,0.29954898
rooster,voyage,0.7870438
school,center,0.35079303
seafood,food,0.5051454
seafood,sea,0.53879124
secretary,senate,0.510718
seven,series,0.5010332
shore,woodland,0.63541424
shower,flood,0.6611601
sign,recess,0.5274209
situation,conclusion,0.44822067
situation,isolation,0.36010736
size,prominence,0.4696404
skin,eye,0.4489156
smart,student,0.32012573
smart,stupid,0.64566773
soap,opera,0.6062705
space,chemistry,0.5819567
space,world,0.20743513
start,match,0.36283123
start,year,0.21997762
stock,cd,0.28742656
stock,egg,0.3948311
stock,jaguar,0.3255003
stock,life,0.09814834
stock,live,0.20329861
stock,market,0.5541111
stock,phone,0.14302722
street,avenue,0.5426232
street,block,0.48309973
street,children,0.10447183
street,place,0.18002681
stroke,hospital,0.3781435
student,professor,0.4860214
sugar,approach,0.3601985
summer,drought,0.5001937
summer,nature,0.19953707
telephone,communication,0.5306662
television,film,0.516723
television,radio,0.60911816
tennis,racket,0.6811562
territory,kilometer,0.5416554
territory,surface,0.2867121
theater,history,0.30113333
tiger,animal,0.45768517
tiger,cat,0.6062293
tiger,feline,0.8551971
tiger,jaguar,0.77299654
tiger,organism,0.72561765
tiger,tiger,0.9999999
tiger,zoo,0.7251443
tool,implement,0.69489026
train,car,0.36763465
travel,activity,0.36397576
treatment,recovery,0.2718591
type,kind,0.4656625
victim,emergency,0.45241478
viewer,serial,0.7861443
volunteer,motto,0.7872372
war,troops,0.34470868
water,seepage,0.2803463
weapon,secret,0.41020283
weather,forecast,0.47631684
wednesday,news,0.513216
wood,forest,0.4525098
word,similarity,0.290443
